time,symbol,side,entry_price,mark_price,position_amt,unrealized_pnl,roe_pct
2026-03-26 23:00:41,SAHARAUSDT,空,0.027840,0.026526,1077.0000,1.4150,14.16
2026-03-26 23:00:41,ATHUSDT,空,0.007948,0.007566,3774.0000,1.4417,14.42
2026-03-26 23:00:41,RENDERUSDT,空,1.868000,1.771000,16.0000,1.5520,15.58
2026-03-26 23:00:41,ENAUSDT,空,0.106400,0.098484,281.0000,2.2243,22.32
2026-03-26 23:00:41,ESPORTSUSDT,空,0.324310,0.389259,92.0000,-5.9753,-60.08
2026-03-26 23:00:41,GASUSDT,多,1.588000,1.551000,18.8000,-0.6956,-6.99
2026-03-26 23:00:41,BRUSDT,多,0.146630,0.178480,204.0000,6.4974,65.16
2026-03-26 23:00:41,SIRENUSDT,空,2.265370,1.914012,13.0000,4.5677,46.53
2026-03-26 23:00:41,PROVEUSDT,空,0.292200,0.264500,102.6000,2.8420,28.44
2026-03-26 23:00:41,CYSUSDT,多,0.414000,0.420593,72.0000,0.4747,4.78
2026-03-26 23:00:41,TRIAUSDT,多,0.033900,0.029370,885.0000,-4.0091,-40.09
2026-03-26 23:00:41,NAORISUSDT,空,0.064925,0.066230,462.0000,-0.6029,-6.03
2026-03-26 23:00:41,ONTUSDT,多,0.061300,0.053700,489.3000,-3.7187,-37.19
2026-03-26 23:00:41,RIVERUSDT,多,20.731000,18.304019,1.4000,-3.3978,-35.12
2026-03-26 23:00:41,SIGNUSDT,多,0.038440,0.032369,779.0000,-4.7289,-47.38
2026-03-26 23:00:41,SUPERUSDT,空,0.131800,0.119539,227.0000,2.7833,27.91
2026-03-26 23:00:41,DYDXUSDT,空,0.088000,0.087211,338.9000,0.2674,2.69
2026-03-26 23:00:41,DUSKUSDT,多,0.115820,0.116830,258.0000,0.2606,2.62
2026-03-27 00:00:57,MONUSDT,空,0.026620,0.023731,1126.0000,3.2529,32.56
2026-03-27 00:00:57,NIGHTUSDT,多,0.044600,0.047600,672.0000,2.0160,20.18
2026-03-27 00:00:57,HUMAUSDT,多,0.019136,0.017078,1567.0000,-3.2256,-32.27
2026-03-27 00:00:57,MANTRAUSDT,空,0.013050,0.012175,2298.0000,2.0110,20.12
2026-03-27 00:00:57,ONDOUSDT,空,0.269600,0.262695,111.2000,0.7678,7.68
2026-03-27 00:00:57,PIPPINUSDT,多,0.049181,0.057339,609.0000,4.9683,49.76
2026-03-27 00:00:57,TRADOORUSDT,空,2.240000,2.497094,13.0000,-3.3422,-34.43
2026-03-27 00:00:57,ZECUSDT,多,232.080000,220.536552,0.1290,-1.4891,-14.92
2026-03-27 00:00:57,AXLUSDT,多,0.050100,0.047876,598.8000,-1.3317,-13.32
2026-03-27 00:00:57,币安人生USDT,多,0.048550,0.046488,617.0000,-1.2724,-12.74
2026-03-27 00:00:57,DOTUSDT,多,1.357000,1.324604,22.1000,-0.7160,-7.16
2026-03-27 00:00:57,ZROUSDT,多,2.144100,2.103500,13.9000,-0.5643,-5.68
2026-03-27 00:00:57,MUSDT,空,2.452700,2.064000,12.0000,4.6644,47.54
2026-03-27 00:00:57,ZKCUSDT,空,0.079470,0.072440,377.0000,2.6503,26.54
2026-03-27 00:00:57,RESOLVUSDT,多,0.044090,0.039700,680.0000,-2.9852,-29.87
2026-03-27 00:00:57,BEATUSDT,空,0.663100,0.614185,45.0000,2.2012,22.13
2026-03-27 00:00:57,JCTUSDT,多,0.002696,0.003006,11128.0000,3.4497,34.50
2026-03-27 00:00:57,BSBUSDT,空,0.166580,0.165390,180.0000,0.2142,2.14
2026-03-27 00:00:57,KASUSDT,空,0.038630,0.036360,776.0000,1.7615,17.63
2026-03-27 00:00:57,ARIAUSDT,多,0.278490,0.281366,107.0000,0.3078,3.10
2026-03-27 00:00:57,CFGUSDT,空,0.141300,0.135800,212.0000,1.1660,11.68
2026-03-27 00:00:57,SAHARAUSDT,空,0.027840,0.026292,1077.0000,1.6670,16.68
2026-03-27 00:00:57,ATHUSDT,空,0.007948,0.007567,3774.0000,1.4381,14.38
2026-03-27 00:00:57,RENDERUSDT,空,1.868000,1.753304,16.0000,1.8351,18.42
2026-03-27 00:00:57,ENAUSDT,空,0.106400,0.097270,281.0000,2.5657,25.74
2026-03-27 00:00:57,ESPORTSUSDT,空,0.324310,0.378180,92.0000,-4.9560,-49.83
2026-03-27 00:00:57,GASUSDT,多,1.588000,1.550000,18.8000,-0.7144,-7.18
2026-03-27 00:00:57,BRUSDT,多,0.146630,0.177324,204.0000,6.2615,62.80
2026-03-27 00:00:57,SIRENUSDT,空,2.265370,1.450340,13.0000,10.5954,107.93
2026-03-27 00:00:57,PROVEUSDT,空,0.292200,0.262110,102.6000,3.0872,30.89
2026-03-27 00:00:57,CYSUSDT,多,0.414000,0.408555,72.0000,-0.3921,-3.95
2026-03-27 00:00:57,TRIAUSDT,多,0.033900,0.028843,885.0000,-4.4757,-44.75
2026-03-27 00:00:57,NAORISUSDT,空,0.064925,0.064977,462.0000,-0.0242,-0.24
2026-03-27 00:00:57,ONTUSDT,多,0.061300,0.053550,489.3000,-3.7918,-37.93
2026-03-27 00:00:57,RIVERUSDT,多,20.731000,17.178000,1.4000,-4.9742,-51.42
2026-03-27 00:00:57,SIGNUSDT,多,0.038440,0.032220,779.0000,-4.8454,-48.54
2026-03-27 00:00:57,SUPERUSDT,空,0.131800,0.118482,227.0000,3.0233,30.31
2026-03-27 00:00:57,DYDXUSDT,空,0.088000,0.086813,338.9000,0.4022,4.05
2026-03-27 00:00:57,DUSKUSDT,多,0.115820,0.115915,258.0000,0.0244,0.25
2026-03-27 01:00:11,MONUSDT,空,0.026620,0.023835,1126.0000,3.1362,31.39
2026-03-27 01:00:11,NIGHTUSDT,多,0.044600,0.048760,672.0000,2.7955,27.98
2026-03-27 01:00:11,HUMAUSDT,多,0.019136,0.017122,1567.0000,-3.1560,-31.57
2026-03-27 01:00:11,MANTRAUSDT,空,0.013050,0.012250,2298.0000,1.8384,18.39
2026-03-27 01:00:11,ONDOUSDT,空,0.269600,0.261746,111.2000,0.8734,8.74
2026-03-27 01:00:11,PIPPINUSDT,多,0.049181,0.058564,609.0000,5.7144,57.24
